PC_VH,PC_H,PC_M,PC_L,PC_VL,VL,L,M,H,VH
VH,VL,VL,VL,VL,"0,057","0,094","0,189","0,283","0,377"
H,VL,L,VL,VL,"0,060","0,200","0,300","0,340","0,100"
H,VL,VL,VL,L,"0,100","0,200","0,300","0,340","0,060"
M,VL,M,VL,VL,"0,167","0,250","0,250","0,283","0,050"
M,VL,VL,VL,M,"0,200","0,300","0,340","0,100","0,060"
M,VL,L,VL,L,"0,100","0,200","0,300","0,340","0,060"
L,VL,H,VL,VL,"0,067","0,111","0,333","0,378","0,111"
L,VL,M,VL,L,"0,222","0,333","0,378","0,067","0,000"
L,VL,L,VL,M,"0,340","0,300","0,200","0,100","0,060"
L,VL,VL,VL,H,"0,486","0,286","0,143","0,086","0,000"
VL,VL,VH,VL,VL,"0,079","0,132","0,447","0,263","0,079"
VL,VL,VL,VL,VH,"0,364","0,309","0,273","0,055","0,000"
